Serial No.,Date,Time,Device Name,bat,leaf_moisture,leaf_temperature,rssi,snr,spreading_factor
1,29/09/2024,23:48:15,Leaf Moisture Sensor 9,3.37,32.3,24,-28,11.2,7
2,29/09/2024,23:28:15,Leaf Moisture Sensor 9,3.37,32.3,24.3,-28,14,7
3,29/09/2024,23:08:16,Leaf Moisture Sensor 9,3.37,32.3,24.7,-28,13.5,7
4,29/09/2024,22:48:16,Leaf Moisture Sensor 9,3.37,32.3,24.9,-28,13.8,7
5,29/09/2024,22:28:16,Leaf Moisture Sensor 9,3.37,32.3,25,-45,13.8,7
6,29/09/2024,22:08:17,Leaf Moisture Sensor 9,3.37,32.3,25.2,-46,13.5,7
7,29/09/2024,21:48:17,Leaf Moisture Sensor 9,3.37,32.3,25,-28,14,7
8,29/09/2024,21:28:17,Leaf Moisture Sensor 9,3.37,32.3,24.9,-28,13.8,7
9,29/09/2024,21:08:18,Leaf Moisture Sensor 9,3.37,32.3,25.1,-28,11.8,7
10,29/09/2024,20:48:18,Leaf Moisture Sensor 9,3.37,32.3,25.2,-46,14,7
11,29/09/2024,20:28:18,Leaf Moisture Sensor 9,3.37,32.3,25.5,-28,13.8,7
12,29/09/2024,20:08:19,Leaf Moisture Sensor 9,3.37,32.1,25.5,-46,13.5,7
13,29/09/2024,19:48:19,Leaf Moisture Sensor 9,3.37,32.1,25.9,-46,14.2,7
14,29/09/2024,19:28:19,Leaf Moisture Sensor 9,3.37,32.3,26.2,-28,14.5,7
15,29/09/2024,19:08:20,Leaf Moisture Sensor 9,3.37,32.3,26.4,-46,13.5,7
16,29/09/2024,18:48:20,Leaf Moisture Sensor 9,3.37,32.3,27,-28,11.5,7
17,29/09/2024,18:28:20,Leaf Moisture Sensor 9,3.37,32.3,27.2,-28,11.2,7
18,29/09/2024,18:08:21,Leaf Moisture Sensor 9,3.37,32.3,27.1,-28,13.5,7
19,29/09/2024,17:48:21,Leaf Moisture Sensor 9,3.37,32.3,27.9,-29,13.8,7
